,0,1,2,3,4,label
307,"[1, 52, 0]","[0, 52, 51]","[1, 40, 51]","[1, 1440, 52]","[1, 479, 52]",211
308,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
309,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 1440, 42]","[1, 479, 42]",211
310,"[1, 52, 0]","[0, 52, 58]","[1, 40, 58]","[1, 1440, 59]","[1, 479, 59]",211
311,"[1, 52, 0]","[0, 52, 41]","[1, 40, 42]","[1, 1440, 42]","[1, 479, 42]",211
312,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
313,"[1, 52, 0]","[0, 52, 59]","[1, 40, 59]","[1, 1440, 60]","[1, 479, 60]",211
314,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
315,"[1, 52, 0]","[0, 52, 40]","[1, 40, 41]","[1, 1440, 41]","[1, 479, 41]",211
316,"[1, 52, 0]","[0, 52, 42]","[1, 40, 43]","[1, 1440, 43]","[1, 479, 43]",211
317,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 1440, 41]","[1, 479, 41]",211
318,"[1, 52, 0]","[0, 52, 42]","[1, 40, 42]","[1, 1440, 43]","[1, 479, 43]",211
319,"[1, 219, 0]","[1, 112, 0]","[1, 115, 1]","[0, 20, 10]","[0, 159, 13]",211
320,"[1, 159, 0]","[1, 330, 0]","[1, 51, 0]","[0, 20, 0]","[0, 143, 52]",211
321,"[1, 143, 0]","[1, 1144, 1]","[0, 20, 13]","[0, 191, 31]","[1, 166, 56]",211
322,"[1, 143, 0]","[1, 1146, 0]","[0, 20, 14]","[0, 191, 21]","[1, 166, 48]",211
323,"[1, 150, 0]","[0, 159, 12]","[0, 326, 13]","[0, 51, 13]","[1, 20, 13]",211
324,"[1, 150, 0]","[0, 159, 13]","[0, 326, 13]","[1, 20, 13]","[0, 51, 13]",211
325,"[1, 143, 0]","[1, 1146, 1]","[0, 20, 29]","[0, 191, 31]","[1, 166, 63]",211
326,"[1, 150, 0]","[0, 159, 20]","[0, 330, 20]","[0, 51, 20]","[1, 20, 20]",211
327,"[1, 150, 0]","[0, 159, 15]","[0, 330, 15]","[0, 51, 15]","[1, 20, 15]",211
328,"[1, 438, 0]","[0, 192, 61]","[0, 1380, 61]","[0, 51, 61]","[0, 1380, 61]",211
329,"[1, 201, 0]","[1, 115, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 1]",211
330,"[1, 254, 0]","[0, 532, 30]","[0, 51, 30]","[0, 51, 30]","[0, 32, 30]",211
331,"[1, 143, 0]","[1, 1147, 0]","[0, 20, 13]","[1, 98, 98]","[1, 98, 326]",211
332,"[1, 20, 0]","[1, 20, 2]","[1, 159, 5]","[1, 326, 6]","[1, 51, 6]",211
333,"[1, 84, 0]","[1, 190, 0]","[1, 407, 1]","[0, 532, 14]","[0, 51, 14]",211
334,"[1, 1380, 0]","[1, 98, 13]","[0, 20, 13]","[0, 20, 13]","[0, 159, 13]",211
335,"[1, 20, 0]","[1, 20, 1]","[1, 20, 1]","[1, 20, 1]","[1, 20, 2]",211
336,"[1, 20, 0]","[1, 20, 0]","[1, 159, 0]","[1, 324, 0]","[1, 51, 0]",211
337,"[1, 32, 0]","[0, 32, 305]","[1, 20, 305]","[1, 1915, 307]","[0, 32, 309]",211
338,"[1, 641, 0]","[0, 20, 40]","[0, 20, 40]","[0, 541, 40]","[0, 192, 40]",211
339,"[1, 201, 0]","[1, 55, 0]","[1, 115, 5]","[1, 91, 5]","[1, 55, 5]",211
340,"[1, 201, 0]","[1, 55, 0]","[1, 91, 1]","[1, 55, 7]","[1, 115, 7]",211
341,"[1, 254, 0]","[0, 532, 27]","[0, 51, 27]","[0, 51, 27]","[0, 32, 27]",211
342,"[1, 192, 0]","[1, 1380, 1]","[1, 51, 1]","[0, 20, 1]","[1, 1380, 1]",211
343,"[1, 20, 0]","[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 1380, 0]",211
344,"[1, 192, 0]","[1, 1380, 1]","[0, 20, 1]","[1, 51, 1]","[1, 1380, 1]",211
345,"[1, 32, 0]","[0, 32, 12]","[1, 20, 12]","[1, 1915, 13]","[0, 20, 31]",211
346,"[1, 201, 0]","[1, 55, 1]","[1, 115, 1]","[1, 91, 2]","[1, 55, 2]",211
347,"[1, 32, 0]","[0, 20, 0]","[0, 1915, 1]","[1, 20, 28]","[1, 20, 30]",211
348,"[1, 251, 0]","[0, 32, 1]","[1, 1380, 3]","[0, 32, 3]","[1, 1380, 10]",211
349,"[1, 1380, 0]","[1, 98, 31]","[0, 20, 42]","[0, 159, 42]","[0, 325, 42]",211
350,"[1, 641, 0]","[0, 192, 76]","[0, 1380, 76]","[0, 51, 76]","[0, 1380, 76]",211
351,"[1, 20, 0]","[1, 192, 6]","[1, 1380, 6]","[1, 51, 6]","[1, 1380, 6]",211
352,"[1, 20, 0]","[1, 20, 1]","[1, 159, 3]","[1, 325, 3]","[1, 51, 3]",211
353,"[1, 1380, 0]","[0, 20, 53]","[1, 1380, 68]","[1, 1380, 69]","[1, 252, 69]",211
354,"[1, 20, 0]","[1, 20, 0]","[1, 159, 0]","[1, 324, 0]","[1, 51, 0]",211
355,"[1, 143, 0]","[1, 1145, 0]","[1, 1380, 182]","[1, 98, 208]","[0, 20, 218]",211
356,"[1, 254, 0]","[0, 20, 70]","[0, 20, 70]","[0, 541, 70]","[0, 541, 70]",211
357,"[1, 1380, 0]","[1, 98, 26]","[0, 20, 37]","[0, 20, 37]","[0, 159, 37]",211
358,"[1, 201, 0]","[1, 55, 0]","[1, 115, 5]","[1, 91, 5]","[1, 55, 5]",211
359,"[1, 254, 0]","[0, 20, 48]","[0, 541, 48]","[0, 541, 48]","[0, 32, 48]",211
360,"[1, 98, 0]","[0, 20, 18]","[0, 20, 18]","[0, 159, 18]","[0, 329, 18]",211
361,"[1, 143, 0]","[1, 1147, 0]","[1, 1380, 176]","[1, 98, 193]","[0, 20, 224]",211
362,"[1, 192, 0]","[1, 1380, 0]","[1, 51, 0]","[1, 1380, 0]","[1, 504, 0]",211
363,"[1, 20, 0]","[1, 20, 1]","[1, 159, 5]","[1, 329, 6]","[1, 51, 6]",211
364,"[1, 20, 0]","[0, 201, 12]","[0, 115, 12]","[0, 55, 13]","[0, 91, 16]",211
365,"[1, 1380, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 252, 0]","[1, 32, 0]",211
366,"[1, 254, 0]","[0, 532, 30]","[0, 51, 30]","[0, 51, 30]","[0, 32, 30]",211
367,"[1, 641, 0]","[0, 192, 51]","[0, 1380, 51]","[0, 51, 51]","[0, 1380, 51]",211
368,"[1, 641, 0]","[0, 192, 31]","[0, 1380, 31]","[0, 51, 31]","[0, 1380, 31]",211
369,"[1, 201, 0]","[1, 115, 0]","[1, 55, 0]","[1, 91, 0]","[1, 55, 1]",211
370,"[1, 143, 0]","[1, 1147, 0]","[1, 1380, 154]","[0, 20, 159]","[0, 159, 159]",211
371,"[1, 143, 0]","[1, 1147, 0]","[0, 20, 13]","[1, 98, 98]","[1, 98, 326]",211
372,"[1, 252, 0]","[1, 1380, 0]","[0, 32, 0]","[0, 32, 1]","[1, 1380, 11]",211
373,"[1, 20, 0]","[1, 20, 0]","[1, 1380, 0]","[1, 1380, 0]","[1, 1380, 0]",211
374,"[1, 1305, 0]","[1, 98, 20]","[0, 51, 45]","[0, 20, 45]","[0, 191, 45]",211
375,"[1, 254, 0]","[0, 20, 50]","[0, 532, 50]","[0, 51, 50]","[0, 51, 50]",211
376,"[1, 641, 0]","[0, 20, 62]","[0, 541, 62]","[0, 192, 62]","[0, 1380, 62]",211
377,"[1, 201, 0]","[1, 55, 0]","[1, 91, 1]","[1, 55, 7]","[1, 115, 7]",211
